"Comment","Designator","Footprint","LCSC Part #"
"1uF 50V X7R 1206; CCTC TCC1206X7R105M500FT","C231","C_1206_3216Metric","C5448921"
"100nF 50V X7R; YAGEO CC0603KRX7R9BB104","C232,C235,C237,C239,C250,C270,C271,C1102,C1103,C1202,C1203,C1302,C1303,C1402,C1403,C1502,C1503,C1602,C1603,C1702,C1703,C1802,C1803","C_0603_1608Metric","C14663"
"10uF 25V X7R 1206; YAGEO CC1206KKX7R8BB106","C234,C236,C238","C_1206_3216Metric","C70462"
"BAT54S dual series Schottky SOT-23; Nexperia BAT54S,215","D1101,D1201,D1301,D1401,D1501,D1601,D1701,D1801","SOT-23","C47546"
"SS54 5A 40V SMB; LGE SS54","D230","D_SMB","C432139"
"SMBJ16A 600W unidirectional SMB; LGE SMBJ16A","D231","D_SMB","C713715"
"24V bidirectional low-capacitance CAN ESD SOD-323; Yint ESD24VD3B","D240,D241","D_SOD-323","C484324"
"CAN common-mode choke 100uH 1812; TDK ACT45B-101-2P-TL003","L240","L_CommonModeChoke_Coilcraft_1812CAN","C88056"
"4.7K 1% 0603; UNI-ROYAL 0603WAF4701T5E","R1107,R1207,R1307,R1407,R1507,R1607,R1707,R1807","R_0603_1608Metric","C23162"
"1K 1% 0603; UNI-ROYAL 0603WAF1001T5E","R201,R202,R203,R204,R205,R206,R207,R208,R1109,R1209,R1309,R1409,R1509,R1609,R1709,R1809","R_0603_1608Metric","C21190"
"10K 1% 0603; UNI-ROYAL 0603WAF1002T5E","R209,R210,R260,R261,R262,R271,R272,R1104,R1105,R1106,R1108,R1110,R1204,R1205,R1206,R1208,R1210,R1304,R1305,R1306,R1308,R1310,R1404,R1405,R1406,R1408,R1410,R1504,R1505,R1506,R1508,R1510,R1604,R1605,R1606,R1608,R1610,R1704,R1705,R1706,R1708,R1710,R1804,R1805,R1806,R1808,R1810","R_0603_1608Metric","C25804"
"100R 1% 0603; UNI-ROYAL 0603WAF1000T5E","R250,R251,R252,R253,R254,R255,R1101,R1102,R1103,R1201,R1202,R1203,R1301,R1302,R1303,R1401,R1402,R1403,R1501,R1502,R1503,R1601,R1602,R1603,R1701,R1702,R1703,R1801,R1802,R1803","R_0603_1608Metric","C22775"
"226K 1% 0603; FH RS-03K2263FT","R270","R_0603_1608Metric","C321793"
"47K 1% 0603; UNI-ROYAL 0603WAF4702T5E","R3011,R3012,R3022,R3031","R_0603_1608Metric","C25819"
"0R 0603; UNI-ROYAL 0603WAF0000T5E","R3021,R3032,R3041,R3042","R_0603_1608Metric","C21189"
"AMS1117-3.3 SOT-223","U230","SOT-223-3_TabPin2","C6186"
"25LC256-I/SN SPI EEPROM SOIC-8","U250","SOIC-8_3.9x4.9mm_P1.27mm","C84670"
"TLV6700DDCR power monitor TSOT-23-6","U270","SOT-23-6","C2868382"
