"Designator","Mid X","Mid Y","Layer","Rotation"
"C1102","9.000000","-61.000000","Top","0.0"
"C1103","34.000000","-72.000000","Top","0.0"
"C1202","39.000000","-61.000000","Top","0.0"
"C1203","64.000000","-72.000000","Top","0.0"
"C1302","69.000000","-61.000000","Top","0.0"
"C1303","94.000000","-72.000000","Top","0.0"
"C1402","99.000000","-61.000000","Top","0.0"
"C1403","124.000000","-72.000000","Top","0.0"
"C1502","131.000000","-61.000000","Top","0.0"
"C1503","156.000000","-72.000000","Top","0.0"
"C1602","161.000000","-61.000000","Top","0.0"
"C1603","186.000000","-72.000000","Top","0.0"
"C1702","191.000000","-61.000000","Top","0.0"
"C1703","208.000000","-82.000000","Top","0.0"
"C1802","221.000000","-61.000000","Top","0.0"
"C1803","244.000000","-78.000000","Top","0.0"
"C231","126.000000","-88.000000","Top","0.0"
"C232","131.000000","-88.000000","Top","0.0"
"C234","165.000000","-88.000000","Top","0.0"
"C235","171.000000","-88.000000","Top","0.0"
"C236","178.000000","-91.000000","Top","0.0"
"C237","178.000000","-86.000000","Top","0.0"
"C238","198.000000","-91.000000","Top","0.0"
"C239","198.000000","-86.000000","Top","0.0"
"C250","88.000000","-128.000000","Top","0.0"
"C270","198.000000","-116.000000","Top","270.0"
"C271","203.000000","-113.000000","Top","270.0"
"D1101","29.000000","-72.000000","Top","180.0"
"D1201","59.000000","-72.000000","Top","180.0"
"D1301","89.000000","-72.000000","Top","180.0"
"D1401","119.000000","-72.000000","Top","180.0"
"D1501","151.000000","-72.000000","Top","180.0"
"D1601","181.000000","-72.000000","Top","180.0"
"D1701","210.000000","-78.000000","Top","180.0"
"D1801","240.000000","-76.000000","Top","180.0"
"D230","110.000000","-88.000000","Top","0.0"
"D231","118.000000","-88.000000","Top","180.0"
"D240","147.000000","-140.000000","Top","90.0"
"D241","169.000000","-140.000000","Top","90.0"
"L240","158.000000","-143.000000","Top","0.0"
"R1101","16.000000","-64.000000","Top","0.0"
"R1102","20.000000","-64.000000","Top","0.0"
"R1103","24.000000","-64.000000","Top","0.0"
"R1104","28.000000","-64.000000","Top","0.0"
"R1105","32.000000","-64.000000","Top","0.0"
"R1106","36.000000","-64.000000","Top","0.0"
"R1107","18.000000","-68.000000","Top","0.0"
"R1108","22.000000","-68.000000","Top","0.0"
"R1109","26.000000","-68.000000","Top","0.0"
"R1110","30.000000","-68.000000","Top","0.0"
"R1201","46.000000","-64.000000","Top","0.0"
"R1202","50.000000","-64.000000","Top","0.0"
"R1203","54.000000","-64.000000","Top","0.0"
"R1204","58.000000","-64.000000","Top","0.0"
"R1205","62.000000","-64.000000","Top","0.0"
"R1206","66.000000","-64.000000","Top","0.0"
"R1207","48.000000","-68.000000","Top","0.0"
"R1208","52.000000","-68.000000","Top","0.0"
"R1209","56.000000","-68.000000","Top","0.0"
"R1210","60.000000","-68.000000","Top","0.0"
"R1301","76.000000","-64.000000","Top","0.0"
"R1302","80.000000","-64.000000","Top","0.0"
"R1303","84.000000","-64.000000","Top","0.0"
"R1304","88.000000","-64.000000","Top","0.0"
"R1305","92.000000","-64.000000","Top","0.0"
"R1306","96.000000","-64.000000","Top","0.0"
"R1307","78.000000","-68.000000","Top","0.0"
"R1308","82.000000","-68.000000","Top","0.0"
"R1309","86.000000","-68.000000","Top","0.0"
"R1310","90.000000","-68.000000","Top","0.0"
"R1401","106.000000","-64.000000","Top","0.0"
"R1402","110.000000","-64.000000","Top","0.0"
"R1403","114.000000","-64.000000","Top","0.0"
"R1404","118.000000","-64.000000","Top","0.0"
"R1405","122.000000","-64.000000","Top","0.0"
"R1406","126.000000","-64.000000","Top","0.0"
"R1407","108.000000","-68.000000","Top","0.0"
"R1408","112.000000","-68.000000","Top","0.0"
"R1409","116.000000","-68.000000","Top","0.0"
"R1410","120.000000","-68.000000","Top","0.0"
"R1501","138.000000","-64.000000","Top","0.0"
"R1502","142.000000","-64.000000","Top","0.0"
"R1503","146.000000","-64.000000","Top","0.0"
"R1504","150.000000","-64.000000","Top","0.0"
"R1505","154.000000","-64.000000","Top","0.0"
