"Reference","QuantityPerBoard","Part","Footprint","Reason"
"F230","1","1A_SLOW_5X20","Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal","Through-hole part; excluded from SMD-only JLCPCB assembly."
"C233","1","220UF_10V","CP_Radial_D8.0mm_P3.50mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"C280","1","4700UF_10V_LOW_ESR_S1_HOLDUP","CP_Radial_D12.5mm_P5.00mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"C230","1","470UF_50V","CP_Radial_D10.0mm_P5.00mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"C1101,C1201,C1301,C1401,C1501,C1601,C1701,C1801","8","470uF 35V LOW_ESR","CP_Radial_D10.0mm_P5.00mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J1","1","ACTUATOR_CH1_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J2","1","ACTUATOR_CH2_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J3","1","ACTUATOR_CH3_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J4","1","ACTUATOR_CH4_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J5","1","ACTUATOR_CH5_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J6","1","ACTUATOR_CH6_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J7","1","ACTUATOR_CH7_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J8","1","ACTUATOR_CH8_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J240","1","CANH_CANL_GND_SHIELD","TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J211","1","CAP_CS1_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J212","1","CAP_CS2_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J213","1","CAP_CS3_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J214","1","CAP_CS4_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole part; excluded from SMD-only JLCPCB assembly."
"J215","1","CAP_CS5_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole part; excluded from SMD-only JLCPCB assembly."
