"Designator","Mid X","Mid Y","Layer","Rotation"
"C1102","22.500000mm","-45.000000mm","Bottom","180.0"
"C1103","26.500000mm","-45.000000mm","Bottom","180.0"
"C1202","58.500000mm","-45.000000mm","Bottom","180.0"
"C1203","62.500000mm","-45.000000mm","Bottom","180.0"
"C231","70.000000mm","-88.000000mm","Bottom","180.0"
"C232","73.000000mm","-80.000000mm","Bottom","180.0"
"C234","48.000000mm","-78.000000mm","Bottom","180.0"
"C235","48.000000mm","-82.000000mm","Bottom","180.0"
"C236","48.000000mm","-86.000000mm","Bottom","180.0"
"C237","62.000000mm","-78.000000mm","Bottom","180.0"
"C238","68.000000mm","-84.000000mm","Bottom","180.0"
"C239","62.000000mm","-86.000000mm","Bottom","180.0"
"C250","72.500000mm","-50.000000mm","Bottom","180.0"
"C270","65.000000mm","-73.000000mm","Bottom","90.0"
"C271","76.000000mm","-75.000000mm","Bottom","90.0"
"C3001","40.000000mm","-55.000000mm","Bottom","180.0"
"C3002","50.000000mm","-55.000000mm","Bottom","180.0"
"C3003","38.000000mm","-64.000000mm","Bottom","180.0"
"C3004","52.000000mm","-60.000000mm","Bottom","180.0"
"C3005","52.000000mm","-64.000000mm","Bottom","180.0"
"C3006","52.000000mm","-68.000000mm","Bottom","180.0"
"C3007","52.000000mm","-72.000000mm","Bottom","180.0"
"C3008","57.500000mm","-72.500000mm","Bottom","90.0"
"C340","75.000000mm","-57.000000mm","Bottom","180.0"
"C341","73.000000mm","-61.000000mm","Bottom","180.0"
"CAP1","79.000000mm","-61.000000mm","Bottom","180.0"
"D1101","38.500000mm","-45.000000mm","Bottom","0.0"
"D1201","74.500000mm","-45.000000mm","Bottom","0.0"
"D230","52.000000mm","-91.000000mm","Bottom","180.0"
"D231","78.000000mm","-86.000000mm","Bottom","0.0"
"D240","25.500000mm","-89.000000mm","Bottom","90.0"
"D241","29.000000mm","-88.950000mm","Bottom","90.0"
"D280","35.000000mm","-89.000000mm","Bottom","180.0"
"L240","30.500000mm","-83.000000mm","Bottom","180.0"
"R1101","30.500000mm","-45.000000mm","Bottom","180.0"
"R1102","34.500000mm","-45.000000mm","Bottom","180.0"
"R1103","22.500000mm","-48.500000mm","Bottom","180.0"
"R1104","26.500000mm","-48.500000mm","Bottom","180.0"
"R1105","30.500000mm","-48.500000mm","Bottom","180.0"
"R1106","34.500000mm","-48.500000mm","Bottom","180.0"
"R1107","38.500000mm","-48.500000mm","Bottom","180.0"
"R1108","22.500000mm","-52.000000mm","Bottom","180.0"
"R1109","26.500000mm","-52.000000mm","Bottom","180.0"
"R1110","30.500000mm","-52.000000mm","Bottom","180.0"
"R1201","66.500000mm","-45.000000mm","Bottom","180.0"
"R1202","70.500000mm","-45.000000mm","Bottom","180.0"
"R1203","58.500000mm","-48.500000mm","Bottom","180.0"
"R1204","62.500000mm","-48.500000mm","Bottom","180.0"
"R1205","66.500000mm","-48.500000mm","Bottom","180.0"
"R1206","70.500000mm","-48.500000mm","Bottom","180.0"
"R1207","74.500000mm","-48.500000mm","Bottom","180.0"
"R1208","58.500000mm","-52.000000mm","Bottom","180.0"
"R1209","62.500000mm","-52.000000mm","Bottom","180.0"
"R1210","66.500000mm","-52.000000mm","Bottom","180.0"
"R201","85.100000mm","-49.000000mm","Bottom","90.0"
"R202","85.000000mm","-58.500000mm","Bottom","90.0"
"R203","85.000000mm","-68.000000mm","Bottom","90.0"
"R209","74.000000mm","-67.000000mm","Bottom","180.0"
"R210","74.000000mm","-71.000000mm","Bottom","180.0"
"R2301","58.000000mm","-76.000000mm","Bottom","90.0"
"R260","74.500000mm","-54.000000mm","Bottom","90.0"
"R261","72.000000mm","-54.000000mm","Bottom","90.0"
"R262","72.000000mm","-58.000000mm","Bottom","90.0"
"R270","65.000000mm","-77.000000mm","Bottom","180.0"
"R271","69.000000mm","-77.000000mm","Bottom","180.0"
"R272","73.000000mm","-77.000000mm","Bottom","180.0"
"R3001","38.000000mm","-60.000000mm","Bottom","180.0"
"R3002","38.000000mm","-68.000000mm","Bottom","180.0"
"U230","55.000000mm","-82.000000mm","Bottom","0.0"
"U250","66.000000mm","-57.500000mm","Bottom","90.0"
"U270","69.000000mm","-73.000000mm","Bottom","270.0"
"U300","45.000000mm","-64.000000mm","Bottom","180.0"
"Y300","45.000000mm","-55.000000mm","Bottom","180.0"
