"Reference","QuantityPerBoard","Part","Footprint","Reason"
"C1101","1","470uF 35V LOW_ESR","CP_Radial_D10.0mm_P5.00mm","Through-hole/module part; install manually."
"C1201","1","470uF 35V LOW_ESR","CP_Radial_D10.0mm_P5.00mm","Through-hole/module part; install manually."
"C230","1","470UF_50V","CP_Radial_D10.0mm_P5.00mm","Through-hole/module part; install manually."
"C233","1","220UF_10V","CP_Radial_D8.0mm_P3.50mm","Through-hole/module part; install manually."
"C280","1","4700UF_10V_LOW_ESR_S1_HOLDUP","CP_Radial_D12.5mm_P5.00mm","Through-hole/module part; install manually."
"CAN1","1","SN65HVD230_MASTER_CAN","SN65HVD230_Module_14.5x16.1mm_1x06","Through-hole/module part; install manually."
"DC1","1","DCE001_FIXED_5V_18x13mm","MP1584_Fixed5V_Module_22.3x17mm","Through-hole/module part; install manually."
"F230","1","1A_SLOW_5X20","Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal","Through-hole/module part; install manually."
"J1","1","ACTUATOR_CH1_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole/module part; install manually."
"J2","1","ACTUATOR_CH2_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole/module part; install manually."
"J201","1","REED_OPEN_5V_SIG_GND_PROTECTED","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","Through-hole/module part; install manually."
"J202","1","REED_CLOSED_5V_SIG_GND_PROTECTED","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","Through-hole/module part; install manually."
"J211","1","CAP_CS1_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole/module part; install manually."
"J212","1","CAP_CS2_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole/module part; install manually."
"J213","1","CAP_CS3_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole/module part; install manually."
"J220","1","SWD_S1_3V3_DIO_CLK_NRST_GND","PinHeader_1x05_P2.54mm_Vertical","Through-hole/module part; install manually."
"J230","1","LOGIC_12V_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole/module part; install manually."
"J240","1","CANH_CANL_GND_SHIELD","TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal","Through-hole/module part; install manually."
"J280B","1","WIRE_FROM_C280_POS","TestPoint_Pad_D1.0mm","Assembly wire solder pad; no component."
"R240","1","120R_CAN_TERM_DNP","R_1206_3216Metric","DNP CAN termination."
"TP290","1","CAP1188_3V3_WIRE_POINT","TestPoint_Pad_D1.0mm","Assembly wire solder pad; no component."
"U1","1","VNH5019A-E","ST_MultiPowerSO-30","VNH5019A-E intentionally excluded."
"U2","1","VNH5019A-E","ST_MultiPowerSO-30","VNH5019A-E intentionally excluded."
