"Value","References","Footprint","Quantity"
"100NF_16V","C235","C_0603_1608Metric","1"
"100NF_16V_3V3_IN","C237","C_0603_1608Metric","1"
"100NF_16V_3V3_OUT","C239","C_0603_1608Metric","1"
"100NF_25V_PGOOD_VDD","C270","C_0603_1608Metric","1"
"100NF_50V","C232","C_0603_1608Metric","1"
"100NF_EEPROM","C250","C_0603_1608Metric","1"
"100NF_PGOOD_FILTER","C271","C_0603_1608Metric","1"
"100R INA_SER","R1101,R1201","R_0603_1608Metric","2"
"100R INB_SER","R1102,R1202","R_0603_1608Metric","2"
"100R PWM_SER","R1103,R1203","R_0603_1608Metric","2"
"100nF 50V X7R VCC","C1102,C1202","C_0603_1608Metric","2"
"100nF ADC_FILTER","C1103,C1203","C_0603_1608Metric","2"
"10K ADC_SERIES","R1110,R1210","R_0603_1608Metric","2"
"10K CS_DIS_PULLDOWN","R1108,R1208","R_0603_1608Metric","2"
"10K INA_PULLDOWN","R1104,R1204","R_0603_1608Metric","2"
"10K INB_PULLDOWN","R1105,R1205","R_0603_1608Metric","2"
"10K PWM_PULLDOWN","R1106,R1206","R_0603_1608Metric","2"
"10K_1%_PGOOD_BOTTOM","R271","R_0603_1608Metric","1"
"10K_CAP_IRQ_PULLUP","R210","R_0603_1608Metric","1"
"10K_CAP_RESET_PULLDOWN","R209","R_0603_1608Metric","1"
"10K_EEPROM_CS_PULLUP","R260","R_0603_1608Metric","1"
"10K_EEPROM_HOLD_PULLUP","R262","R_0603_1608Metric","1"
"10K_EEPROM_WP_PULLUP","R261","R_0603_1608Metric","1"
"10K_PGOOD_PULLUP","R272","R_0603_1608Metric","1"
"10UF_10V","C234","C_1206_3216Metric","1"
"10UF_10V_3V3_IN","C236","C_1206_3216Metric","1"
"10UF_10V_3V3_OUT","C238","C_1206_3216Metric","1"
"120R_CAN_TERM_DNP","R240","R_1206_3216Metric","1"
"1A_SLOW_5X20","F230","Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal","1"
"1K 1% CS_LOAD","R1109,R1209","R_0603_1608Metric","2"
"1K_CAP_INPUT","R201,R202,R203","R_0603_1608Metric","3"
"1UF_50V","C231","C_1206_3216Metric","1"
"220UF_10V","C233","CP_Radial_D8.0mm_P3.50mm","1"
"226K_1%_PGOOD_TOP","R270","R_0603_1608Metric","1"
"25LC256_SOIC8_CARRIER_ID","U250","SOIC-8_3.9x4.9mm_P1.27mm","1"
"4700UF_10V_LOW_ESR_S1_HOLDUP","C280","CP_Radial_D12.5mm_P5.00mm","1"
"470UF_50V","C230","CP_Radial_D10.0mm_P5.00mm","1"
"470uF 35V LOW_ESR","C1101,C1201","CP_Radial_D10.0mm_P5.00mm","2"
"47K SLOT_S1_ID0","R3011","R_0603_1608Metric","1"
"4K7 DIAG_PULLUP","R1107,R1207","R_0603_1608Metric","2"
"ACTUATOR_CH1_4P","J1","DINKLE_2EHDRC-04P_P5.08mm","1"
"ACTUATOR_CH2_4P","J2","DINKLE_2EHDRC-04P_P5.08mm","1"
"AMS1117-3V3","U230","SOT-223-3_TabPin2","1"
"BAT54S ADC_CLAMP","D1101,D1201","SOT-23","2"
"CANH_CANL_GND_SHIELD","J240","TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal","1"
"CAP1188_SPI","CAP1","CAP1188_Adafruit1602_Module_2x13","1"
"CAP_CS1_GND","J211","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"CAP_CS2_GND","J212","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"CAP_CS3_GND","J213","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"CMC_CAN","L240","L_CommonModeChoke_Coilcraft_1812CAN","1"
"LOGIC_12V_GND","J230","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","1"
"M3.2 NPTH, TOP HEATSINK","HS1A,HS1B,HS2A,HS2B","MountingHole_3.2mm_M3","4"
"M3.2_NPTH","H1,H2,H3,H4","MountingHole_M3_2_NPTH","4"
"MP1584_FIXED_5V","DC1","MP1584_Fixed5V_Module_22.3x17mm","1"
"PESD1CAN_CANH","D240","D_SOD-323","1"
"PESD1CAN_CANL","D241","D_SOD-323","1"
"REED_A_CLOSED_3V3_SIG_GND","J202","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","1"
"REED_A_IN_PLACE_3V3_SIG_GND","J203","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","1"
"REED_A_OPEN_3V3_SIG_GND","J201","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","1"
"SMBJ16A_TVS","D231","D_SMB","1"
"SN65HVD230_MASTER_CAN","CAN1","SN65HVD230_Module_14.5x16.1mm_1x06","1"
"SS34_S1_HOLDUP_ISOLATION","D280","D_SMA","1"
"SS54_REVERSE_POLARITY","D230","D_SMB","1"
"STM32F103C8T6_MINI_SLOT_S1","MOD1","STM32F103C8T6_Mini_CH340_4x10","1"
"SWD_S1_3V3_DIO_CLK_NRST_GND","J220","PinHeader_1x05_P2.54mm_Vertical","1"
"TLV6700DDCR_POWER_MONITOR","U270","SOT-23-6","1"
"VNH5019A-E","U1,U2","ST_MultiPowerSO-30","2"
