"Comment","Designator","Footprint","LCSC Part #"
"1uF 50V X7R 1206; CCTC TCC1206X7R105M500FT","C231","C_1206_3216Metric","C5448921"
"100nF 50V X7R; YAGEO CC0603KRX7R9BB104","C232,C235,C237,C239,C250,C270,C271,C1102,C1103,C1202,C1203","C_0603_1608Metric","C14663"
"10uF 25V X7R 1206; YAGEO CC1206KKX7R8BB106","C234,C236,C238","C_1206_3216Metric","C70462"
"BAT54S dual series Schottky SOT-23; Nexperia BAT54S,215","D1101,D1201","SOT-23","C47546"
"SS54 5A 40V SMB; LGE SS54","D230","D_SMB","C432139"
"SMBJ16A 600W unidirectional SMB; LGE SMBJ16A","D231","D_SMB","C713715"
"24V bidirectional CAN ESD SOD-323; Yint ESD24VD3B","D240,D241","D_SOD-323","C484324"
"CAN common-mode choke 100uH 1812; TDK ACT45B-101-2P-TL003","L240","L_CommonModeChoke_Coilcraft_1812CAN","C88056"
"100R 1% 0603; UNI-ROYAL 0603WAF1000T5E","R1101,R1102,R1103,R1201,R1202,R1203","R_0603_1608Metric","C22775"
"4.7K 1% 0603; UNI-ROYAL 0603WAF4701T5E","R1107,R1207","R_0603_1608Metric","C23162"
"1K 1% 0603; UNI-ROYAL 0603WAF1001T5E","R201,R202,R203,R1109,R1209","R_0603_1608Metric","C21190"
"10K 1% 0603; UNI-ROYAL 0603WAF1002T5E","R209,R210,R260,R261,R262,R271,R272,R1104,R1105,R1106,R1108,R1110,R1204,R1205,R1206,R1208,R1210","R_0603_1608Metric","C25804"
"226K 1% 0603; FH RS-03K2263FT","R270","R_0603_1608Metric","C321793"
"47K 1% 0603; UNI-ROYAL 0603WAF4702T5E","R3011","R_0603_1608Metric","C25819"
"AMS1117-3.3 SOT-223","U230","SOT-223-3_TabPin2","C6186"
"25LC256-I/SN SPI EEPROM SOIC-8","U250","SOIC-8_3.9x4.9mm_P1.27mm","C84670"
"TLV6700DDCR power monitor TSOT-23-6","U270","SOT-23-6","C2868382"
