"Reference","QuantityPerBoard","Part","Footprint","Reason"
"C1101","1","470uF 35V LOW_ESR","CP_Radial_D10.0mm_P5.00mm","Through-hole component excluded from SMD-only assembly."
"C1201","1","470uF 35V LOW_ESR","CP_Radial_D10.0mm_P5.00mm","Through-hole component excluded from SMD-only assembly."
"C230","1","470UF_50V","CP_Radial_D10.0mm_P5.00mm","Through-hole component excluded from SMD-only assembly."
"C233","1","220UF_10V","CP_Radial_D8.0mm_P3.50mm","Through-hole component excluded from SMD-only assembly."
"C280","1","4700UF_10V_LOW_ESR_S1_HOLDUP","CP_Radial_D12.5mm_P5.00mm","Through-hole component excluded from SMD-only assembly."
"CAN1","1","SN65HVD230_MASTER_CAN","SN65HVD230_Module_14.5x16.1mm_1x06","Socketed module excluded from assembly."
"CAP1","1","CAP1188_SPI","CAP1188_Adafruit1602_Module_2x13","Socketed module excluded from assembly."
"D280","1","SS34_S1_HOLDUP_ISOLATION","D_SMA","Bottom-side component excluded for top-only assembly."
"DC1","1","MP1584_FIXED_5V","MP1584_Fixed5V_Module_22.3x17mm","Socketed module excluded from assembly."
"F230","1","1A_SLOW_5X20","Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal","Through-hole component excluded from SMD-only assembly."
"J1","1","ACTUATOR_CH1_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole component excluded from SMD-only assembly."
"J2","1","ACTUATOR_CH2_4P","DINKLE_2EHDRC-04P_P5.08mm","Through-hole component excluded from SMD-only assembly."
"J201","1","REED_A_OPEN_3V3_SIG_GND","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","Through-hole component excluded from SMD-only assembly."
"J202","1","REED_A_CLOSED_3V3_SIG_GND","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","Through-hole component excluded from SMD-only assembly."
"J203","1","REED_A_IN_PLACE_3V3_SIG_GND","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal","Through-hole component excluded from SMD-only assembly."
"J211","1","CAP_CS1_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole component excluded from SMD-only assembly."
"J212","1","CAP_CS2_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole component excluded from SMD-only assembly."
"J213","1","CAP_CS3_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole component excluded from SMD-only assembly."
"J220","1","SWD_S1_3V3_DIO_CLK_NRST_GND","PinHeader_1x05_P2.54mm_Vertical","Through-hole component excluded from SMD-only assembly."
"J230","1","LOGIC_12V_GND","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","Through-hole component excluded from SMD-only assembly."
"J240","1","CANH_CANL_GND_SHIELD","TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal","Through-hole component excluded from SMD-only assembly."
"MOD1","1","STM32F103C8T6_MINI_SLOT_S1","STM32F103C8T6_Mini_CH340_4x10","Socketed module excluded from assembly."
"R240","1","120R_CAN_TERM_DNP","R_1206_3216Metric","DNP CAN termination."
"U1","1","VNH5019A-E","ST_MultiPowerSO-30","VNH5019A-E excluded from assembly."
"U2","1","VNH5019A-E","ST_MultiPowerSO-30","VNH5019A-E excluded from assembly."
