"Comment","Designator","Footprint","LCSC Part #"
"100NF_16V","C235","C_0603_1608Metric",""
"100NF_16V_3V3_IN","C237","C_0603_1608Metric",""
"100NF_16V_3V3_OUT","C239","C_0603_1608Metric",""
"100NF_25V_PGOOD_VDD","C270","C_0603_1608Metric",""
"100NF_50V","C232","C_0603_1608Metric",""
"100NF_EEPROM","C250","C_0603_1608Metric",""
"100NF_PGOOD_FILTER","C271","C_0603_1608Metric",""
"100R INA_SER","R1101,R1201","R_0603_1608Metric",""
"100R INB_SER","R1102,R1202","R_0603_1608Metric",""
"100R PWM_SER","R1103,R1203","R_0603_1608Metric",""
"100nF 50V X7R VCC","C1102,C1202","C_0603_1608Metric",""
"100nF ADC_FILTER","C1103,C1203","C_0603_1608Metric",""
"10K ADC_SERIES","R1110,R1210","R_0603_1608Metric",""
"10K CS_DIS_PULLDOWN","R1108,R1208","R_0603_1608Metric",""
"10K INA_PULLDOWN","R1104,R1204","R_0603_1608Metric",""
"10K INB_PULLDOWN","R1105,R1205","R_0603_1608Metric",""
"10K PWM_PULLDOWN","R1106,R1206","R_0603_1608Metric",""
"10K_1%_PGOOD_BOTTOM","R271","R_0603_1608Metric",""
"10K_CAP_IRQ_PULLUP","R210","R_0603_1608Metric",""
"10K_CAP_RESET_PULLDOWN","R209","R_0603_1608Metric",""
"10K_EEPROM_CS_PULLUP","R260","R_0603_1608Metric",""
"10K_EEPROM_HOLD_PULLUP","R262","R_0603_1608Metric",""
"10K_EEPROM_WP_PULLUP","R261","R_0603_1608Metric",""
"10K_PGOOD_PULLUP","R272","R_0603_1608Metric",""
"10UF_10V","C234","C_1206_3216Metric",""
"10UF_10V_3V3_IN","C236","C_1206_3216Metric",""
"10UF_10V_3V3_OUT","C238","C_1206_3216Metric",""
"1K 1% CS_LOAD","R1109,R1209","R_0603_1608Metric",""
"1K_CAP_INPUT","R201,R202,R203","R_0603_1608Metric",""
"1UF_50V","C231","C_1206_3216Metric",""
"226K_1%_PGOOD_TOP","R270","R_0603_1608Metric",""
"25LC256_SOIC8_CARRIER_ID","U250","SOIC-8_3.9x4.9mm_P1.27mm",""
"47K SLOT_S1_ID0","R3011","R_0603_1608Metric",""
"4K7 DIAG_PULLUP","R1107,R1207","R_0603_1608Metric",""
"AMS1117-3V3","U230","SOT-223-3_TabPin2",""
"BAT54S ADC_CLAMP","D1101,D1201","SOT-23",""
"CMC_CAN","L240","L_CommonModeChoke_Coilcraft_1812CAN",""
"PESD1CAN_CANH","D240","D_SOD-323",""
"PESD1CAN_CANL","D241","D_SOD-323",""
"SMBJ16A_TVS","D231","D_SMB",""
"SS54_REVERSE_POLARITY","D230","D_SMB",""
"TLV6700DDCR_POWER_MONITOR","U270","SOT-23-6",""
