"Designator","Mid X","Mid Y","Layer","Rotation"
"C1102","9.000000","-61.000000","Top","0.0"
"C1103","34.000000","-72.000000","Top","0.0"
"C1202","39.000000","-61.000000","Top","0.0"
"C1203","64.000000","-72.000000","Top","0.0"
"C231","86.000000","-25.000000","Top","0.0"
"C232","86.000000","-31.000000","Top","0.0"
"C234","72.000000","-65.000000","Top","0.0"
"C235","77.000000","-65.000000","Top","0.0"
"C236","68.000000","-68.000000","Top","0.0"
"C237","82.000000","-65.000000","Top","0.0"
"C238","84.000000","-78.000000","Top","0.0"
"C239","86.000000","-66.000000","Top","0.0"
"C250","49.000000","-77.000000","Top","0.0"
"C270","82.000000","-84.000000","Top","0.0"
"C271","74.000000","-80.000000","Top","0.0"
"D1101","29.000000","-72.000000","Top","180.0"
"D1201","59.000000","-72.000000","Top","180.0"
"D230","72.000000","-25.000000","Top","180.0"
"D231","80.000000","-25.000000","Top","180.0"
"D240","20.000000","-78.000000","Top","90.0"
"D241","29.000000","-78.000000","Top","90.0"
"L240","24.000000","-76.000000","Top","0.0"
"R1101","16.000000","-64.000000","Top","0.0"
"R1102","20.000000","-64.000000","Top","0.0"
"R1103","24.000000","-64.000000","Top","0.0"
"R1104","28.000000","-64.000000","Top","0.0"
"R1105","32.000000","-64.000000","Top","0.0"
"R1106","36.000000","-64.000000","Top","0.0"
"R1107","18.000000","-68.000000","Top","0.0"
"R1108","22.000000","-68.000000","Top","0.0"
"R1109","26.000000","-68.000000","Top","0.0"
"R1110","30.000000","-68.000000","Top","0.0"
"R1201","46.000000","-64.000000","Top","0.0"
"R1202","50.000000","-64.000000","Top","0.0"
"R1203","54.000000","-64.000000","Top","0.0"
"R1204","58.000000","-64.000000","Top","0.0"
"R1205","62.000000","-64.000000","Top","0.0"
"R1206","66.000000","-64.000000","Top","0.0"
"R1207","48.000000","-68.000000","Top","0.0"
"R1208","52.000000","-68.000000","Top","0.0"
"R1209","56.000000","-68.000000","Top","0.0"
"R1210","60.000000","-68.000000","Top","0.0"
"R201","89.000000","-72.000000","Top","270.0"
"R202","89.000000","-82.000000","Top","270.0"
"R203","89.000000","-86.000000","Top","270.0"
"R209","42.000000","-88.000000","Top","0.0"
"R210","53.000000","-75.000000","Top","0.0"
"R260","35.000000","-76.000000","Top","90.0"
"R261","35.000000","-81.000000","Top","90.0"
"R262","36.500000","-86.000000","Top","90.0"
"R270","70.000000","-80.000000","Top","0.0"
"R271","78.000000","-80.000000","Top","0.0"
"R272","70.000000","-84.000000","Top","0.0"
"R3011","8.000000","-84.000000","Top","0.0"
"U230","78.000000","-72.000000","Top","180.0"
"U250","42.000000","-80.000000","Top","270.0"
"U270","76.000000","-84.000000","Top","180.0"
