"Comment","Designator","Footprint","LCSC Part #"
"0R 0603; UNI-ROYAL 0603WAF0000T5E","R2301","R_0603_1608Metric","C21189"
"100R 1% 0603; UNI-ROYAL 0603WAF1000T5E","R1101,R1102,R1103,R1201,R1202,R1203,R1301,R1302,R1303,R1401,R1402,R1403","R_0603_1608Metric","C22775"
"100nF 50V X7R 0603; YAGEO CC0603KRX7R9BB104","C1102,C1103,C1202,C1203,C1302,C1303,C1402,C1403,C232,C235,C237,C239,C250,C270,C271,C3003,C3004,C3005,C3006,C3009,C340","C_0603_1608Metric","C14663"
"10K 1% 0603; UNI-ROYAL 0603WAF1002T5E","R1104,R1105,R1106,R1108,R1110,R1204,R1205,R1206,R1208,R1210,R1304,R1305,R1306,R1308,R1310,R1404,R1405,R1406,R1408,R1410,R209,R210,R260,R261,R262,R271,R272,R3001,R3002,R3003","R_0603_1608Metric","C25804"
"10nF 50V X7R 0603","C3008","C_0603_1608Metric","C57112"
"10uF 25V X7R 1206; YAGEO CC1206KKX7R8BB106","C234,C236,C238","C_1206_3216Metric","C70462"
"18pF 50V C0G 0603","C3001,C3002","C_0603_1608Metric","C1647"
"1K 1% 0603; UNI-ROYAL 0603WAF1001T5E","R1109,R1209,R1309,R1409,R201,R202,R203","R_0603_1608Metric","C21190"
"1uF 50V X7R 0805; Samsung CL21B105KBFNNNE","C3007,C341","C_0805_2012Metric","C28323"
"1uF 50V X7R 1206; CCTC TCC1206X7R105M500FT","C231","C_1206_3216Metric","C5448921"
"226K 1% 0603; FH RS-03K2263FT","R270","R_0603_1608Metric","C321793"
"25LC256-I/SN SPI EEPROM SOIC-8","U250","SOIC-8_3.9x4.9mm_P1.27mm","C84670"
"4.7K 1% 0603; UNI-ROYAL 0603WAF4701T5E","R1107,R1207,R1307,R1407,R290,R291,R292","R_0603_1608Metric","C23162"
"ACT45B-101-2P-TL003 CAN common-mode choke","L240","L_CommonModeChoke_Coilcraft_1812CAN","C88056"
"AMS1117-3.3 SOT-223","U230","SOT-223-3_TabPin2","C6186"
"BAT54S dual Schottky SOT-23; Nexperia BAT54S,215","D1101,D1201,D1301,D1401","SOT-23","C47546"
"CAP1188-1-CP-TR capacitive touch controller","CAP1","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","C2652057"
"ESD24VD3B bidirectional CAN ESD SOD-323","D240,D241","D_SOD-323","C484324"
"SMBJ16A 600W unidirectional SMB; LGE SMBJ16A","D231","D_SMB","C713715"
"SS34 3A 40V SMA Schottky; MDD SS34","D280","D_SMA","C8678"
"SS54 5A 40V SMB; LGE SS54","D230","D_SMB","C432139"
"STM32F103RCT6 LQFP-64","U300","LQFP-64_10x10mm_P0.5mm","C8323"
"TLV6700DDCR dual comparator SOT-23-6","U270","SOT-23-6","C2868382"
"X32258MOB4SI 8MHz 12pF SMD3225-4P","Y300","Crystal_SMD_3225-4Pin_3.2x2.5mm","C2682775"
