"Designator","Mid X","Mid Y","Layer","Rotation"
"C1102","6.025000mm","-35.000000mm","Bottom","0.0"
"C1103","25.025000mm","-46.000000mm","Bottom","0.0"
"C1202","37.025000mm","-35.000000mm","Bottom","0.0"
"C1203","56.025000mm","-46.000000mm","Bottom","0.0"
"C1302","68.025000mm","-35.000000mm","Bottom","0.0"
"C1303","87.025000mm","-46.000000mm","Bottom","0.0"
"C1402","99.025000mm","-35.000000mm","Bottom","0.0"
"C1403","118.025000mm","-46.000000mm","Bottom","0.0"
"C231","25.000000mm","-60.000000mm","Bottom","0.0"
"C232","24.300000mm","-56.500000mm","Bottom","0.0"
"C234","28.025000mm","-55.450000mm","Bottom","90.0"
"C235","30.025000mm","-58.950000mm","Bottom","0.0"
"C236","31.525000mm","-55.475000mm","Bottom","90.0"
"C237","38.525000mm","-63.675000mm","Bottom","90.0"
"C238","34.550000mm","-75.000000mm","Bottom","0.0"
"C239","38.550000mm","-75.000000mm","Bottom","0.0"
"C250","81.525000mm","-71.500000mm","Bottom","0.0"
"C270","75.700000mm","-81.500000mm","Bottom","0.0"
"C271","76.025000mm","-84.500000mm","Bottom","0.0"
"C3001","53.800000mm","-61.000000mm","Bottom","0.0"
"C3002","53.750000mm","-70.500000mm","Bottom","0.0"
"C3003","56.200000mm","-77.500000mm","Bottom","0.0"
"C3004","58.525000mm","-57.500000mm","Bottom","0.0"
"C3005","62.525000mm","-57.500000mm","Bottom","0.0"
"C3006","66.525000mm","-57.500000mm","Bottom","0.0"
"C3007","54.525000mm","-57.500000mm","Bottom","0.0"
"C3008","50.525000mm","-57.500000mm","Bottom","0.0"
"C3009","70.525000mm","-57.500000mm","Bottom","0.0"
"C340","105.525000mm","-61.500000mm","Bottom","0.0"
"C341","109.525000mm","-61.500000mm","Bottom","0.0"
"CAP1","109.525000mm","-66.500000mm","Bottom","90.0"
"D1101","25.025000mm","-42.000000mm","Bottom","0.0"
"D1201","56.025000mm","-42.000000mm","Bottom","0.0"
"D1301","87.025000mm","-42.000000mm","Bottom","0.0"
"D1401","118.025000mm","-42.000000mm","Bottom","0.0"
"D230","10.595000mm","-64.832500mm","Bottom","180.0"
"D231","10.445000mm","-70.832500mm","Bottom","180.0"
"D240","45.525000mm","-81.500000mm","Bottom","90.0"
"D241","48.525000mm","-81.500000mm","Bottom","90.0"
"D280","70.525000mm","-75.500000mm","Bottom","180.0"
"L240","40.525000mm","-81.500000mm","Bottom","180.0"
"R1101","5.525000mm","-37.500000mm","Bottom","0.0"
"R1102","9.325000mm","-37.500000mm","Bottom","0.0"
"R1103","13.125000mm","-37.500000mm","Bottom","0.0"
"R1104","16.925000mm","-37.500000mm","Bottom","0.0"
"R1105","20.725000mm","-37.500000mm","Bottom","0.0"
"R1106","24.525000mm","-37.500000mm","Bottom","0.0"
"R1107","9.525000mm","-42.000000mm","Bottom","0.0"
"R1108","13.325000mm","-42.000000mm","Bottom","0.0"
"R1109","17.125000mm","-42.000000mm","Bottom","0.0"
"R1110","20.925000mm","-42.000000mm","Bottom","0.0"
"R1201","36.525000mm","-37.500000mm","Bottom","0.0"
"R1202","40.325000mm","-37.500000mm","Bottom","0.0"
"R1203","44.125000mm","-37.500000mm","Bottom","0.0"
"R1204","47.925000mm","-37.500000mm","Bottom","0.0"
"R1205","51.725000mm","-37.500000mm","Bottom","0.0"
"R1206","55.525000mm","-37.500000mm","Bottom","0.0"
"R1207","40.525000mm","-42.000000mm","Bottom","0.0"
"R1208","44.325000mm","-42.000000mm","Bottom","0.0"
"R1209","48.125000mm","-42.000000mm","Bottom","0.0"
"R1210","51.925000mm","-42.000000mm","Bottom","0.0"
"R1301","67.525000mm","-37.500000mm","Bottom","0.0"
"R1302","71.325000mm","-37.500000mm","Bottom","0.0"
"R1303","75.125000mm","-37.500000mm","Bottom","0.0"
"R1304","78.925000mm","-37.500000mm","Bottom","0.0"
"R1305","82.725000mm","-37.500000mm","Bottom","0.0"
"R1306","86.525000mm","-37.500000mm","Bottom","0.0"
"R1307","71.525000mm","-42.000000mm","Bottom","0.0"
"R1308","75.325000mm","-42.000000mm","Bottom","0.0"
"R1309","79.125000mm","-42.000000mm","Bottom","0.0"
"R1310","82.925000mm","-42.000000mm","Bottom","0.0"
"R1401","98.525000mm","-37.500000mm","Bottom","0.0"
"R1402","102.325000mm","-37.500000mm","Bottom","0.0"
"R1403","106.125000mm","-37.500000mm","Bottom","0.0"
"R1404","109.925000mm","-37.500000mm","Bottom","0.0"
"R1405","113.725000mm","-37.500000mm","Bottom","0.0"
"R1406","117.525000mm","-37.500000mm","Bottom","0.0"
"R1407","102.525000mm","-42.000000mm","Bottom","0.0"
"R1408","106.325000mm","-42.000000mm","Bottom","0.0"
"R1409","110.125000mm","-42.000000mm","Bottom","0.0"
"R1410","113.925000mm","-42.000000mm","Bottom","0.0"
"R201","113.525000mm","-58.825000mm","Bottom","90.0"
"R202","113.525000mm","-67.325000mm","Bottom","90.0"
"R203","113.525000mm","-76.500000mm","Bottom","90.0"
"R209","105.525000mm","-72.500000mm","Bottom","0.0"
"R210","109.525000mm","-72.500000mm","Bottom","0.0"
"R2301","34.550000mm","-81.000000mm","Bottom","0.0"
"R260","78.525000mm","-75.500000mm","Bottom","0.0"
"R261","82.525000mm","-75.500000mm","Bottom","0.0"
"R262","86.525000mm","-75.500000mm","Bottom","0.0"
"R270","67.700000mm","-83.500000mm","Bottom","0.0"
"R271","67.700000mm","-87.500000mm","Bottom","0.0"
"R272","74.700000mm","-87.500000mm","Bottom","0.0"
"R290","89.525000mm","-80.500000mm","Bottom","90.0"
"R291","102.525000mm","-80.500000mm","Bottom","90.0"
"R292","115.525000mm","-80.500000mm","Bottom","90.0"
"R3001","56.200000mm","-73.500000mm","Bottom","0.0"
"R3002","58.200000mm","-81.500000mm","Bottom","0.0"
"R3003","62.200000mm","-81.500000mm","Bottom","0.0"
"U230","31.525000mm","-65.950000mm","Bottom","180.0"
"U250","83.945000mm","-66.500000mm","Bottom","90.0"
"U270","71.200000mm","-84.000000mm","Bottom","270.0"
"U300","64.525000mm","-66.500000mm","Bottom","90.0"
"Y300","53.625000mm","-65.650000mm","Bottom","180.0"
