"Reference","Footprint","KiCadRotation","JlcCorrection","FinalRotation"
"CAP1","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm","0.0","+90.0","90.0"
"D1101","SOT-23","0.0","+0.0","0.0"
"D1201","SOT-23","0.0","+0.0","0.0"
"D1301","SOT-23","0.0","+0.0","0.0"
"D1401","SOT-23","0.0","+0.0","0.0"
"D230","D_SMB","0.0","+180.0","180.0"
"D231","D_SMB","0.0","+180.0","180.0"
"D240","D_SOD-323","90.0","+0.0","90.0"
"D241","D_SOD-323","90.0","+0.0","90.0"
"D280","D_SMA","0.0","+180.0","180.0"
"L240","L_CommonModeChoke_Coilcraft_1812CAN","0.0","+180.0","180.0"
"U230","SOT-223-3_TabPin2","180.0","+0.0","180.0"
"U250","SOIC-8_3.9x4.9mm_P1.27mm","0.0","+90.0","90.0"
"U270","SOT-23-6","90.0","+180.0","270.0"
"U300","LQFP-64_10x10mm_P0.5mm","0.0","+90.0","90.0"
"Y300","Crystal_SMD_3225-4Pin_3.2x2.5mm","0.0","+180.0","180.0"
