"Refs","Value","Footprint","Qty","DNP"
"C230","470UF_50V","CP_Radial_D10.0mm_P5.00mm","1",""
"C231","1UF_50V","C_1206_3216Metric","1",""
"C232","100NF_50V","C_0603_1608Metric","1",""
"C233","220UF_10V","CP_Radial_D8.0mm_P3.50mm","1",""
"C234","10UF_10V","C_1206_3216Metric","1",""
"C235","100NF_16V","C_0603_1608Metric","1",""
"C236","10UF_10V_3V3_IN","C_1206_3216Metric","1",""
"C237","100NF_16V_3V3_IN","C_0603_1608Metric","1",""
"C238","10UF_10V_3V3_OUT","C_1206_3216Metric","1",""
"C239","100NF_16V_3V3_OUT","C_0603_1608Metric","1",""
"C250","100NF_EEPROM","C_0603_1608Metric","1",""
"C270","100NF_25V_PGOOD_VDD","C_0603_1608Metric","1",""
"C271","100NF_PGOOD_FILTER","C_0603_1608Metric","1",""
"C280","4700UF_10V_LOW_ESR_S1_HOLDUP","CP_Radial_D12.5mm_P5.00mm","1",""
"C1101,C1201,C1301,C1401","470uF 35V LOW_ESR","CP_Radial_D10.0mm_P5.00mm","4",""
"C1102,C1202,C1302,C1402","100nF 50V X7R VCC","C_0603_1608Metric","4",""
"C1103,C1203,C1303,C1403","100nF ADC_FILTER","C_0603_1608Metric","4",""
"CAN1","SN65HVD230_MASTER_CAN","SN65HVD230_Module_14.5x16.1mm_1x06","1",""
"CAP1","CAP1188_SPI","CAP1188_Adafruit1602_Module_2x13","1",""
"D230","SS54_REVERSE_POLARITY","D_SMB","1",""
"D231","SMBJ16A_TVS","D_SMB","1",""
"D240","PESD1CAN_CANH","D_SOD-323","1",""
"D241","PESD1CAN_CANL","D_SOD-323","1",""
"D280","SS34_S1_HOLDUP_ISOLATION","D_SMA","1",""
"D1101,D1201,D1301,D1401","BAT54S ADC_CLAMP","SOT-23","4",""
"DC1","MP1584_FIXED_5V","MP1584_Fixed5V_Module_22.3x17mm","1",""
"F230","1A_SLOW_5X20","Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal","1",""
"H1-H4","M3.2_NPTH","MountingHole_M3_2_NPTH","4",""
"HS1A?,HS1B?,HS2A?,HS2B?,HS3A?,HS3B?,HS4A?,HS4B?","M3.2 NPTH, TOP HEATSINK","MountingHole_3.2mm_M3","8",""
"J1","FUSED_12V_CH1","TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal","1",""
